country,#signatures
Monaco,1
Andorra,1
Antigua and Barbuda,1
Afghanistan,1
Gabon,1
Tajikistan,1
Syria,1
Swaziland,1
Sudan,1
St Maarten,1
"St Helena, Ascension and Tristan da Cunha",1
Solomon Islands,1
Slovakia,1
Serbia,1
New Caledonia,1
Kenya,1
Latvia,1
Macao,1
Western Sahara,1
Bangladesh,1
Barbados,1
Wallis and Futuna,1
Venezuela,1
Burma,1
Uganda,1
Chile,1
Turks and Caicos Islands,1
Colombia,1
Croatia,1
Trinidad and Tobago,1
The Gambia,1
Denmark,1
Falkland Islands,1
The Bahamas,1
French Polynesia,1
Kuwait,2
Azerbaijan,2
Slovenia,2
Morocco,2
Tanzania,2
Lebanon,2
Romania,2
Vanuatu,2
British Virgin Islands,2
Brunei,2
Bulgaria,2
India,2
Ukraine,2
Zambia,2
Zimbabwe,3
Mexico,3
Oman,3
San Marino,3
Sao Tome and Principe,3
Senegal,3
Sri Lanka,3
Vatican City,3
Russia,4
Brazil,4
Hungary,4
Cayman Islands,4
Taiwan,4
Czechia,5
Bahrain,6
Indonesia,6
Israel,6
Japan,6
China,6
Qatar,6
Vietnam,6
Austria,6
Finland,7
Tuvalu,7
Uzbekistan,7
Poland,8
Greece,9
Luxembourg,9
Bermuda,9
Philippines,10
Turkey,11
Italy,11
Uruguay,12
Sweden,13
Guernsey,13
Gibraltar,13
Belgium,14
Saudi Arabia,14
Malaysia,15
Malta,16
Jersey,19
Norway,24
Singapore,27
Isle of Man,29
Portugal,32
Netherlands,35
Thailand,43
South Africa,43
Switzerland,45
Ireland,54
Cyprus,56
Hong Kong,57
Germany,77
New Zealand,80
United Arab Emirates,87
France,126
Spain,166
Canada,172
United States,257
Australia,308
United Kingdom,206894
